EMPLID,Name,AcademicPlan,Grad Year
8359362,"gkwwx,wqcmq",F100-2208,19-20
7436187,"wymir,wndgg",F100-2208,19-20
6680601,"hrhiy,nvpeh",F100-2208,20-21
9938267,"kuftw,mldxs",F100-2208,20-21
3631288,"elkay,jphwv",F100-2208,20-21
4700440,"vhybe,znlfu",F100-2208,20-21
9700212,"hrxzt,wpqdu",F100-2208,20-21
0276974,"lywev,ikcvn",F100-2208,20-21
3784069,"gtftb,bslhu",F100-2208,19-20
2632700,"xofvt,tvmdl",F100-2208,20-21
2867343,"vscig,fjxif",F100-2208,20-21
1319572,"jzkbp,jhqtn",F100-2208,19-20
3666848,"ffdwc,lyqny",F100-2208,20-21
8010932,"jchmm,umxwa",F100-2208,19-20
4028188,"xtseq,dgyna",F100-2208,19-20
0949241,"wkhax,tgskc",F100-2208,19-20
4570839,"cnuyq,wgqbf",F100-2208,20-21
0824160,"drwrl,rltrz",F100-2208,19-20
0332145,"wuexa,dycwx",F100-2208,19-20
6210397,"fvniw,trzdo",F100-2208,19-20
5623401,"ruddm,ekark",F100-2208,20-21
5439818,"sgtlw,cfict",F100-2208,19-20
0325865,"rjypd,nbguz",F100-2208,19-20
0884558,"gupja,ncauu",F100-2208,20-21
6823752,"ylcgp,rekyw",F100-2208,19-20
2813236,"gdnuw,citnp",F100-2208,19-20
8269772,"ccbtp,xqhra",F100-2208,19-20
2022347,"dlppp,mwtja",F100-2208,19-20
1424204,"woybt,mpbwe",F100-2208,19-20
1462393,"grdge,lvqvj",F100-2208,19-20
0760735,"tmiut,zixpf",F100-2208,20-21
8675279,"ugdnr,cjhnj",F100-2208,19-20
3122158,"xzqgz,fxern",F100-2208,19-20
4565333,"wqyql,pmwyp",F100-2208,19-20
4198989,"jxnou,rcsnh",F100-2208,19-20
0300922,"ufxyk,pwqki",F100-2208,20-21
3335923,"lkvbq,qsoha",F100-2208,19-20
7115704,"qigrb,cidgt",F100-2208,20-21
5077802,"srapy,cyyhk",F100-2208,20-21
2942111,"lnubo,nzflk",F100-2208,20-21
4833733,"gumyz,dcgkj",F100-2208,20-21
4739979,"wmlsz,fiwgq",F100-2208,19-20
8442322,"fjsvn,gpfcy",F100-2208,19-20
6596567,"gmnfq,xqnvp",F100-2208,19-20
0484614,"gdspa,mlvxy",F100-2208,20-21
2699814,"reqlm,hvwyr",F100-2208,20-21
1093078,"tionr,euvrh",F100-2208,20-21
0757290,"hljvl,hdcwl",F100-2208,20-21
9035158,"uhvli,lohio",F100-2208,19-20
9588387,"bfkbv,jxhfi",F100-2208,19-20
9804562,"tlade,ybymd",F100-2208,20-21
0518669,"ijric,goykl",F100-2208,20-21
2130276,"kjaet,rbmdi",F100-2208,19-20
8630323,"vzzvm,elznc",F100-2208,19-20
4917301,"kjbto,fdwyt",F100-2208,19-20
8677948,"fyajz,gnumk",F100-2208,20-21
0260458,"arghe,uaunv",F100-2208,20-21
4284220,"ihjzg,iupvu",F100-2208,20-21
5071386,"pwyzl,vxxbw",F100-2208,20-21
8833833,"mffti,rsnqi",F100-2208,19-20
6543355,"jipop,bxsbg",F100-2208,19-20
1350171,"oceft,sqvma",F100-2208,20-21
7923641,"nfuvc,zgoix",F100-2208,19-20
4232126,"joofw,vbqka",F100-2208,20-21
2966354,"rxsur,pxhvc",F100-2208,20-21
7978548,"nnrsf,olhuk",F100-2208,20-21
1500708,"uwtrx,hjxvx",F100-2208,19-20
4277489,"lomsm,amghv",F100-2208,19-20
1569978,"fkapo,tntyq",F100-2208,20-21
6838278,"gbpxn,cuptm",F100-2208,19-20
8004487,"deumn,magbq",F100-2208,20-21
8444666,"bvfxw,pxufg",F100-2208,19-20
3032706,"hxscs,iycil",F100-2208,19-20
3586163,"dbmux,kyywl",F100-2208,20-21
6720659,"itcbp,ljhzx",F100-2208,20-21
3248533,"fjchj,izkvt",F100-2208,20-21
2855201,"duvwt,llfvw",F100-2208,20-21
5937505,"fqzzf,kywln",F100-2208,19-20
2547829,"grmkt,qbchr",F100-2208,19-20
6879997,"hjmsr,arqca",F100-2208,19-20
5354315,"gxwji,rcjgm",F100-2208,19-20
0531452,"csytt,zszub",F100-2208,19-20
2421807,"zdqja,euzmg",F100-2208,20-21
1350867,"cxjoq,zbpdf",F100-2208,19-20
6990384,"trvye,oieaa",F100-2208,19-20
4411761,"omwlj,shmih",F100-2208,20-21
2982403,"yzitb,ibeib",F100-2208,19-20
9932710,"zezdp,uffoq",F100-2208,19-20
6173311,"xhlix,ojkuf",F100-2208,19-20
7162555,"guvxy,cuyft",F100-2208,20-21
8578624,"angvj,jqurl",F100-2208,20-21
8671345,"ftpoe,dxabw",F100-2208,20-21
4048549,"awmrx,vafls",F100-2208,19-20
1996384,"lwugg,rpomr",F100-2208,19-20
4776823,"gppwy,rwftp",F100-2208,20-21
9526902,"hiucy,pigpl",F100-2208,20-21
9608477,"ldyql,qhslx",F100-2208,20-21
5216120,"lsmnw,jyxnn",F100-2208,19-20
1687540,"kooje,qznrq",F100-2208,19-20
8742265,"fyfpf,avaoa",F100-2208,20-21
8899782,"jsjfl,jiwum",F100-2208,19-20
6807078,"qfftq,ojmqs",F100-2208,20-21
3722165,"jetrn,mmacn",F100-2208,20-21
0968791,"plmpk,mumso",F100-2208,19-20
1885728,"zlxvu,ibwuc",F100-2208,19-20
9957269,"sbphl,vesrv",F100-2208,19-20
9100557,"vsiyq,uhtcp",F100-2208,19-20
0365397,"dokbx,efrfp",F100-2208,20-21
8470182,"jxkdn,ssrud",F100-2208,20-21
6283105,"rogyq,fobsk",F100-2208,20-21
7081818,"gseej,qrxjv",F100-2208,20-21
4738833,"feall,isueh",F100-2208,19-20
9177738,"efynl,zisri",F100-2208,19-20
5662611,"qazfg,lojyi",F100-2208,19-20
7489268,"afxkw,tjmgz",F100-2208,19-20
9931797,"admwd,sfebu",F100-2208,20-21
8554647,"whnqk,vrhwy",F100-2208,20-21
1670850,"sysga,rmuxg",F100-2208,20-21
1917875,"nmhpk,ibgav",F100-2208,20-21
1716675,"gixpv,aebtu",F100-2208,19-20
1698241,"ubzdh,rpqjv",F100-2208,20-21
8446130,"bijvq,zfiwt",F100-2208,19-20
0376509,"zywtk,xgwbu",F100-2208,20-21
7702590,"anrin,igjcy",F100-2208,19-20
0149020,"xqnmi,woqpz",F100-2208,20-21
3052188,"rnldt,hhgcw",F100-2208,20-21
0273149,"fkqlv,rxrte",F100-2208,19-20
3547619,"jfour,dnevh",F100-2208,19-20
1163421,"jzhzk,qgqfl",F100-2208,20-21
6281226,"pxzme,uiyzb",F100-2208,20-21
2152716,"bjpsj,gemru",F100-2208,19-20
1819630,"ydwxh,kipci",F100-2208,20-21
2806781,"smgiu,csqej",F100-2208,20-21
2913890,"chlca,vqayy",F100-2208,20-21
1010879,"lsbwi,unleq",F100-2208,19-20
8275938,"ozpqx,vomlx",F100-2208,20-21
4404460,"fmdvv,khhvo",F100-2208,19-20
5138706,"umxmr,nsbck",F100-2208,19-20
8364549,"ucuhp,jkrsm",F100-2208,20-21
1130844,"dqzay,nivgv",F100-2208,19-20
9746647,"abdvu,cjvch",F100-2208,20-21
8337527,"gjeph,cwpba",F100-2208,20-21
8460669,"zzczg,vxyxu",F100-2208,19-20
7424204,"tegqe,lnsye",F100-2208,19-20
0424864,"efyhj,lpkks",F100-2208,20-21
3050350,"yaafb,frqfh",F100-2208,19-20
8430984,"rwkiy,mista",F100-2208,19-20
0532842,"tailf,nizxf",F100-2208,19-20
3235746,"pmeyk,ltcsw",F100-2208,19-20
2075312,"btnxc,moiki",F100-2208,19-20
7809872,"kggfz,xsqjb",F100-2208,19-20
6896741,"ldkfl,ycbzy",F100-2208,20-21
5184016,"cbdtm,syfin",F100-2208,20-21
6600285,"ybdwv,qrpgx",F100-2208,19-20
0580070,"sgohw,rxxgb",F100-2208,19-20
9165538,"jfrhr,dabcb",F100-2208,19-20
8136887,"fwprb,lscov",F100-2208,20-21
9439037,"mwgyz,atxzg",F100-2208,19-20
0634516,"ebfhb,wuozm",F100-2208,20-21
8287732,"tfxxy,keygb",F100-2208,20-21
8843725,"pmrrw,gubdn",F100-2208,19-20
8499684,"ozpsr,fdvoh",F100-2208,19-20
5630144,"hanhv,xnfga",F100-2208,20-21
2536647,"jptxz,tzxwk",F100-2208,19-20
7904383,"btwfy,bmngn",F100-2208,19-20
0369797,"jjjfa,duubk",F100-2208,20-21
7502194,"xpwly,gbonb",F100-2208,20-21
4040668,"kdrgf,lbrgi",F100-2208,20-21
0180553,"ewfze,ovffk",F100-2208,20-21
5991888,"obfpj,tyfrb",F100-2208,19-20
5053318,"rbmuy,fkmqs",F100-2208,19-20
8653017,"hemck,ulosw",F100-2208,20-21
0860249,"myvdg,jwsdc",F100-2208,20-21
4941677,"vmtpb,wrjae",F100-2208,20-21
8365832,"kuyhk,izgmn",F100-2208,20-21
6572888,"kcsla,pfaml",F100-2208,19-20
1147358,"fxuwd,xdqgz",F100-2208,19-20
9189436,"dnfmr,yznuu",F100-2208,19-20
7724110,"kvyaz,zazic",F100-2208,19-20
1279403,"vvnaf,ugkdp",F100-2208,19-20
9914499,"sypsp,udexj",F100-2208,20-21
4886484,"haegx,zqexh",F100-2208,20-21
7196833,"wnowi,ksgmk",F100-2208,19-20
7871920,"iuqpf,vpwfc",F100-2208,20-21
2333407,"ghxqj,ltqfl",F100-2208,20-21
9081618,"jwwbb,xanms",F100-2208,20-21
2777003,"ffnso,eflki",F100-2208,19-20
0287168,"mnhsr,lhkem",F100-2208,19-20
5082165,"mmvbd,yifyq",F100-2208,19-20
5113375,"cabpj,mkylh",F100-2208,19-20
8181541,"toelx,yostx",F100-2208,20-21
0748322,"juuqt,uaycm",F100-2208,20-21
3060487,"fftmo,zgpdy",F100-2208,19-20
4830143,"mqbwq,vzvgy",F100-2208,19-20
1845542,"amyei,rarik",F100-2208,20-21
4036336,"fwyjp,tcvku",F100-2208,19-20
5442881,"retbk,gpqwn",F100-2208,19-20
9641334,"fodag,bwgwj",F100-2208,20-21
9387948,"chkpr,twfow",F100-2208,20-21
4652724,"ckpmp,ontek",F100-2208,19-20
9832576,"qyqlh,dbnnj",F100-2208,19-20
0776931,"tlsrx,cbwlr",F100-2208,19-20
4440726,"smznb,ayche",F100-2208,19-20
6230320,"hstun,jjtyx",F100-2208,19-20
9969434,"zxabs,gavds",F100-2208,19-20
5034497,"azcln,uezua",F100-2208,19-20
1588614,"cphcu,tsjup",F100-2208,19-20
5379185,"ynxig,okqts",F100-2208,19-20
7117919,"mrued,iyegm",F100-2208,20-21
1920680,"jfeey,xxwgc",F100-2208,19-20
5146185,"yrxoy,pkwqk",F100-2208,19-20
3272077,"cqjtn,qquyh",F100-2208,20-21
5441114,"qcxxv,entqw",F100-2208,19-20
7155702,"msdxg,gloxa",F100-2208,19-20
6537024,"azhvr,qsace",F100-2208,19-20
1603776,"nzurg,hftss",F100-2208,20-21
8903335,"cvack,cnrvj",F100-2208,19-20
7424742,"wzpom,emors",F100-2208,19-20
4057201,"wlogg,fgajy",F100-2208,20-21
0319226,"umkmp,keykt",F100-2208,19-20
0380516,"wwazp,ijbwz",F100-2208,20-21
4934682,"waezb,kowec",F100-2208,20-21
5257542,"lgcho,pzyih",F100-2208,20-21
3267820,"txrtc,lbyiu",F100-2208,20-21
3782103,"lkmnh,rrjkk",F100-2208,20-21
3035505,"ptwro,bheno",F100-2208,20-21
5232838,"erccc,hlhcv",F100-2208,20-21
9893996,"ujjwv,ocjjb",F100-2208,19-20
1293827,"yprru,zrnzp",F100-2208,19-20
6621484,"dqbiq,ndsxm",F100-2208,19-20
2893564,"gpera,llydl",F100-2208,20-21
2271592,"kwxtk,sqxue",F100-2208,20-21
5255602,"ofpkn,hsosi",F100-2208,19-20
0047664,"gkoke,ndlfq",F100-2208,19-20
5190321,"iahwf,yqgyi",F100-2208,19-20
4170040,"cglen,oaptx",F100-2208,20-21
9363280,"nkapj,gadxn",F100-2208,19-20
8535108,"ggbvi,okolu",F100-2208,20-21
1540658,"qytin,eospx",F100-2208,20-21
5148128,"fhfll,ritqz",F100-2208,20-21
2949878,"vezdn,veyiq",F100-2208,20-21
5668733,"hiuvd,hqxdy",F100-2208,20-21
9928136,"xohmr,vuerg",F100-2208,20-21
3574754,"fwqca,hjoil",F100-2208,20-21
4732816,"xyowy,kbfjy",F100-2208,19-20
3914316,"rxmuo,powqc",F100-2208,20-21
8829805,"udtzx,pnykl",F100-2208,19-20
6939149,"okqxn,nrxnz",F100-2208,19-20
0869542,"iguna,pjdkz",F100-2208,20-21
9873744,"mijkl,xycwt",F100-2208,19-20
2935262,"cvzor,gxxnp",F100-2208,20-21
0513714,"ynoky,ajzyh",F100-2208,19-20
9776102,"tzpbu,kgyzn",F100-2208,19-20
5552314,"jcoro,jbkip",F100-2208,20-21
9553004,"xqvyv,bxhgc",F100-2208,19-20
0024832,"fomsa,qgvip",F100-2208,20-21
7245453,"rwawa,sffty",F100-2208,20-21
5806589,"gxuvn,giipr",F100-2208,19-20
7348831,"xaacl,jasdc",F100-2208,19-20
5457711,"qovql,gfnfe",F100-2208,19-20
8578464,"edvui,pvbhv",F100-2208,19-20
9141394,"yozae,qusek",F100-2208,19-20
5598208,"wxoys,urjxa",F100-2208,19-20
0558815,"vouao,qcvzw",F100-2208,20-21
6307313,"hhlmf,judbp",F100-2208,20-21
9870756,"qeqpe,obfvn",F100-2208,19-20
5863878,"qomga,vhagb",F100-2208,20-21
0893008,"nzmad,kqjgx",F100-2208,20-21
5259878,"rqcfj,okxks",F100-2208,19-20
9770758,"nmqwj,uoqva",F100-2208,20-21
8879575,"xkfow,fkuxs",F100-2208,19-20
9773440,"bmzqm,pfajw",F100-2208,20-21
5494253,"okkfo,jrmfb",F100-2208,19-20
2712949,"cahrt,senvj",F100-2208,19-20
0050144,"gadxa,bikaz",F100-2208,19-20
4142687,"xqhth,uzcoc",F100-2208,20-21
2896795,"thwqt,lwrdu",F100-2208,19-20
0974696,"srpgg,svwpe",F100-2208,19-20
9890708,"xzixy,hvhrj",F100-2208,20-21
3138230,"ooqjd,pdvmd",F100-2208,19-20
6175514,"onbgw,avmim",F100-2208,19-20
0759580,"gghbw,eebvf",F100-2208,19-20
4459987,"qqsvg,ckjat",F100-2208,20-21
7997043,"aejjo,nlnyb",F100-2208,20-21
3554859,"gizuv,fixeo",F100-2208,19-20
4963804,"osecn,wttwt",F100-2208,19-20
3155014,"gcvdy,rdpur",F100-2208,20-21
7018532,"jpmpn,odxxg",F100-2208,19-20
2523828,"ruxcf,zvetm",F100-2208,19-20
9199961,"jerha,lotgw",F100-2208,19-20
1832292,"kuoee,wuxgl",F100-2208,19-20
7865746,"dsonm,uzcfg",F100-2208,20-21
8704371,"bbijy,cviam",F100-2208,20-21
1870205,"bhluh,cjrff",F100-2208,20-21
5333297,"sfhxk,zaked",F100-2208,19-20
2192574,"ihswg,ixfrj",F100-2208,20-21
5091016,"qgkiu,sdnnn",F100-2208,20-21
9857628,"asjto,oeplf",F100-2208,20-21
4678064,"cfgrx,ygeof",F100-2208,19-20
2548254,"wrmyk,zjelo",F100-2208,19-20
8628221,"agtnq,lmhog",F100-2208,20-21
5765956,"ydxok,owlld",F100-2208,20-21
3904517,"hlhmg,owuxy",F100-2208,20-21
0669002,"bzioa,hymmn",F100-2208,20-21
1772478,"dszvb,fbsuq",F100-2208,20-21
4518535,"sykkq,izadh",F100-2208,20-21
9399442,"rcdsh,grhvm",F100-2208,19-20
6832088,"hpfhf,vmcbo",F100-2208,19-20
1874875,"okuvk,tjthl",F100-2208,19-20
6487930,"wgopk,fdeng",F100-2208,20-21
3218108,"lhjgh,dsmro",F100-2208,20-21
7632040,"zsbqa,earsu",F100-2208,20-21
1177685,"uzzxb,jpizv",F100-2208,19-20
4635573,"gpksh,fwuop",F100-2208,19-20
8876651,"lqcer,oznjh",F100-2208,19-20
5429878,"velmt,mirtj",F100-2208,19-20
0979853,"nykat,btogw",F100-2208,19-20
3165485,"hsjhl,ntrax",F100-2208,19-20
8116689,"nndgi,xfenu",F100-2208,20-21
5771963,"ydxcp,eckrn",F100-2208,20-21
9490611,"sguuu,ggwzb",F100-2208,19-20
6725223,"hhohj,haiyd",F100-2208,20-21
0214087,"nuwcx,zddpv",F100-2208,19-20
7773124,"asrfd,wbulp",F100-2208,20-21
2671213,"tbksz,lgqhk",F100-2208,19-20
8026043,"ceoac,dlfjd",F100-2208,20-21
9703057,"gtdxi,liavf",F100-2208,20-21
1111931,"aczcr,oslfy",F100-2208,19-20
3452108,"vehge,bqsmw",F100-2208,19-20
4177754,"fryjd,vcouv",F100-2208,19-20
2459773,"jbhqr,dfnhi",F100-2208,20-21
3838697,"dwyrk,esvnt",F100-2208,20-21
5823016,"ifync,zwewc",F100-2208,20-21
6376818,"oxusg,evsrr",F100-2208,19-20
2438509,"ktjyw,yikyo",F100-2208,19-20
7951690,"caizo,hwupf",F100-2208,19-20
2791501,"djimw,tjktu",F100-2208,19-20
3795645,"rswqe,qogbg",F100-2208,20-21
3685546,"doqjv,qwklm",F100-2208,19-20
4752977,"vzblu,sidee",F100-2208,19-20
1354095,"ecoth,swtdz",F100-2208,20-21
7584691,"hppmn,nyexg",F100-2208,20-21
6794086,"xmrsd,qarjh",F100-2208,19-20
6773688,"jrmju,harxy",F100-2208,20-21
8436274,"axosk,mrgdn",F100-2208,20-21
0702150,"hqvnh,cidhi",F100-2208,19-20
6618345,"tcusc,fkqrr",F100-2208,19-20
3683586,"ggdsf,ccguf",F100-2208,20-21
6004926,"xnvja,cmkqd",F100-2208,20-21
4627852,"ufymq,ndnya",F100-2208,20-21
3965030,"scdpf,lprji",F100-2208,20-21
1252663,"diisx,pswbc",F100-2208,20-21
2854540,"jcqac,igwxx",F100-2208,20-21
1937398,"ghjiq,swqxf",F100-2208,20-21
4405904,"kayol,xqzpl",F100-2208,20-21
7989277,"gagdd,mrwmh",F100-2208,19-20
4728935,"mjeax,ybdfh",F100-2208,20-21
1991516,"jxkwp,jjqel",F100-2208,20-21
6238355,"pasih,gwtgr",F100-2208,19-20
4000684,"frgin,yuiht",F100-2208,20-21
1558474,"jtmbv,zmrkd",F100-2208,19-20
8662263,"mggsx,cpaza",F100-2208,20-21
8817576,"jesld,wycka",F100-2208,20-21
1899912,"keqvt,tqvrr",F100-2208,20-21
4525825,"klwip,ajxtj",F100-2208,19-20
3009198,"mnkia,zeazt",F100-2208,19-20
8719164,"tbasv,zztry",F100-2208,20-21
7173126,"tkbqk,uwlsu",F100-2208,20-21
7951079,"kspcv,kcnmt",F100-2208,19-20
1353557,"uhlcr,imflx",F100-2208,19-20
3786306,"ggrnw,ukmku",F100-2208,19-20
4990078,"jwldo,xunpd",F100-2208,19-20
6544960,"fotnu,tmaum",F100-2208,20-21
5424883,"wsclq,srvgm",F100-2208,19-20
2189680,"inzim,zygkt",F100-2208,20-21
2675153,"dvcjg,titcv",F100-2208,19-20
3617151,"ojizg,vlyao",F100-2208,19-20
7403681,"axsfi,pxwtb",F100-2208,19-20
8019246,"ulvkg,jcipm",F100-2208,19-20
0738646,"tcspo,fsnis",F100-2208,20-21
1564028,"mbpic,iuhkn",F100-2208,20-21
3799540,"btoby,ybapp",F100-2208,19-20
6587120,"okzox,hpvaa",F100-2208,19-20
1084155,"rgbfb,vngwh",F100-2208,19-20
9540377,"zyysb,eflym",F100-2208,19-20
6767335,"idkox,wynbh",F100-2208,19-20
7420332,"lbgfw,rmilo",F100-2208,20-21
2981445,"rpxta,ffhtg",F100-2208,20-21
4589573,"sufff,fblic",F100-2208,19-20
6674916,"bcfhp,lpkln",F100-2208,19-20
4755018,"zxkha,awnfn",F100-2208,20-21
1644617,"osieo,shmba",F100-2208,19-20
2275034,"wbvmr,kuroz",F100-2208,19-20
2911511,"xmqsy,atzqg",F100-2208,20-21
2310525,"uswun,dpfaf",F100-2208,20-21
1899801,"ygpin,mtatb",F100-2208,19-20
5776444,"twxtg,khari",F100-2208,20-21
0546436,"ssgyp,ivofk",F100-2208,19-20
1261768,"becpq,pujfk",F100-2208,19-20
8519475,"jppzm,yfhnx",F100-2208,19-20
2085161,"guwex,yvrbr",F100-2208,19-20
3018516,"diaoc,shedo",F100-2208,20-21
2074813,"bldml,kqinc",F100-2208,20-21
9263367,"enaxb,sojmy",F100-2208,20-21
5175433,"hqyxj,blzuk",F100-2208,20-21
0051316,"xtoen,wdpyp",F100-2208,19-20
7230213,"yjjbz,clhzs",F100-2208,20-21
9491094,"aclps,aujzw",F100-2208,19-20
3046346,"kkrjp,zwicn",F100-2208,20-21
8769117,"uuboh,ovmuq",F100-2208,19-20
9437463,"mjwhz,fhool",F100-2208,20-21
5949093,"xwgiu,rcybz",F100-2208,19-20
6653208,"jbmty,lvtxx",F100-2208,19-20
2838828,"fmmoh,ievuk",F100-2208,20-21
9985895,"hfoss,hmlpj",F100-2208,19-20
4130329,"reowh,tgayi",F100-2208,19-20
9013892,"ofhsq,owpgc",F100-2208,20-21
5417044,"lcluy,fqtim",F100-2208,19-20
7094524,"ulsmt,ytejr",F100-2208,19-20
6540901,"gwpul,rxzkt",F100-2208,19-20
